Time,B1.Ax,B3.Ax,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,B5.OT_h:m
3/19/16 14:10:47,101,9,0,0,0,0,0,0,0,0,840
3/19/16 14:16:48,101,9,0,0,0,0,0,0,0,0,846
3/19/16 14:22:49,102,9,0,0,0,0,0,0,0,0,852
3/19/16 14:28:50,102,9,0,0,0,0,0,0,0,0,858
3/19/16 14:34:51,103,9,0,0,0,0,0,0,0,0,864
3/19/16 14:40:52,103,9,0,0,0,0,0,0,0,0,870
3/19/16 14:46:53,104,9,0,0,0,0,0,0,0,0,876
3/19/16 14:52:54,104,9,0,0,0,0,0,0,0,0,882
3/19/16 14:58:55,105,9,0,0,0,0,0,0,0,0,888
3/19/16 15:4:56,105,9,0,0,0,0,0,0,0,0,894
3/19/16 15:12:10,88,9,0,0,0,0,0,0,0,0,1
3/19/16 15:18:12,88,9,0,0,0,0,0,0,0,0,7
3/19/16 15:24:13,89,9,0,0,0,0,0,0,0,0,13
3/19/16 15:30:13,89,9,0,0,0,0,0,0,0,0,19
3/19/16 15:36:14,90,9,0,0,0,0,0,0,0,0,25
3/19/16 15:42:16,90,9,0,0,0,0,0,0,0,0,31
3/19/16 15:48:17,91,9,0,0,0,0,0,0,0,0,37
3/19/16 15:54:18,91,9,0,0,0,0,0,0,0,0,43
3/19/16 16:0:18,92,9,0,0,0,0,0,0,0,0,49
3/19/16 16:6:19,92,9,0,0,0,0,0,0,0,0,55
3/19/16 16:12:21,93,9,0,0,0,0,0,0,0,0,61
3/19/16 16:18:22,93,9,0,0,0,0,0,0,0,0,67
3/19/16 16:24:22,94,9,0,0,0,0,0,0,0,0,73
3/19/16 16:30:23,94,9,0,0,0,0,0,0,0,0,79
3/19/16 16:36:24,95,9,0,0,0,0,0,0,0,0,85
3/19/16 16:42:26,95,9,0,0,0,0,0,0,0,0,91
3/19/16 16:48:27,96,9,0,0,0,0,0,0,0,0,97
3/19/16 16:54:27,96,9,0,0,0,0,0,0,0,0,103
3/19/16 17:0:28,97,9,0,0,0,0,0,0,0,0,109
3/19/16 17:6:29,97,9,0,0,0,0,0,0,0,0,115
3/19/16 17:12:31,98,9,0,0,0,0,0,0,0,0,121
3/19/16 17:18:32,98,9,0,0,0,0,0,0,0,0,127
3/19/16 17:24:32,98,9,0,0,0,0,0,0,0,0,133
3/19/16 17:30:33,99,9,0,0,0,0,0,0,0,0,139
3/19/16 17:36:34,99,9,0,0,0,0,0,0,0,0,145
3/19/16 17:42:36,100,9,0,0,0,0,0,0,0,0,151
3/19/16 17:48:37,100,9,0,0,0,0,0,0,0,0,157
3/19/16 17:54:37,101,9,0,0,0,0,0,0,0,0,163
3/19/16 18:0:38,101,9,0,0,0,0,0,0,0,0,169
3/19/16 18:6:39,102,9,0,0,0,0,0,0,0,0,175
3/19/16 18:12:41,102,9,0,0,0,0,0,0,0,0,181
3/19/16 18:18:42,103,9,0,0,0,0,0,0,0,0,187
3/19/16 18:24:42,103,9,0,0,0,0,0,0,0,0,193
3/19/16 18:30:43,104,9,0,0,0,0,0,0,0,0,199
3/19/16 18:36:44,104,9,0,0,0,0,0,0,0,0,205
3/19/16 18:42:46,104,9,0,0,0,0,0,0,0,0,211
3/19/16 18:48:47,105,9,0,0,0,0,0,0,0,0,217
3/19/16 18:54:47,105,9,0,0,0,0,0,0,0,0,223
3/19/16 19:0:48,87,9,0,0,0,0,0,0,0,0,1
3/19/16 19:6:49,88,9,0,0,0,0,0,0,0,0,7
3/19/16 19:12:51,88,9,0,0,0,0,0,0,0,0,13
3/19/16 19:18:52,88,9,0,0,0,0,0,0,0,0,19
3/19/16 19:24:52,89,9,0,0,0,0,0,0,0,0,25
3/19/16 19:30:53,89,9,0,0,0,0,0,0,0,0,31
3/19/16 19:36:54,90,8,0,0,0,0,0,0,0,0,37
3/19/16 19:42:56,90,8,0,0,0,0,0,0,0,0,43
3/19/16 19:48:57,90,8,0,0,0,0,0,0,0,0,49
3/19/16 19:54:57,91,8,0,0,0,0,0,0,0,0,55
3/19/16 20:0:58,91,8,0,0,0,0,0,0,0,0,61
3/19/16 20:7:0,91,8,0,0,0,0,0,0,0,0,67
3/19/16 20:13:1,92,8,0,0,0,0,0,0,0,0,73
3/19/16 20:19:2,92,8,0,0,0,0,0,0,0,0,79
3/19/16 20:25:2,92,8,0,0,0,0,0,0,0,0,85
3/19/16 20:31:3,92,8,0,0,0,0,0,0,0,0,91
3/19/16 20:37:5,92,8,0,0,0,0,0,0,0,0,97
3/19/16 20:43:6,92,8,0,0,0,0,0,0,0,0,103
3/19/16 20:49:7,92,8,0,0,0,0,0,0,0,0,109
3/19/16 20:55:7,92,8,0,0,0,0,0,0,0,0,115
3/19/16 21:1:8,92,8,0,0,0,0,0,0,0,0,121
3/19/16 21:7:10,92,8,0,0,0,0,0,0,0,0,127
3/19/16 21:13:11,92,8,0,0,0,0,0,0,0,0,134
3/19/16 21:19:12,92,8,0,0,0,0,0,0,0,0,140
3/19/16 21:25:12,92,8,0,0,0,0,0,0,0,0,146
