Time,L1,T1,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,B5.MN_h:m
3/18/16 22:8:7,100,9,0,0,0,0,0,0,0,0,382
3/18/16 22:14:8,100,9,0,0,0,0,0,0,0,0,388
3/18/16 22:20:9,101,9,0,0,0,0,0,0,0,0,394
3/18/16 22:26:10,101,9,0,0,0,0,0,0,0,0,400
3/18/16 22:32:11,101,9,0,0,0,0,0,0,0,0,406
3/18/16 22:38:12,101,9,0,0,0,0,0,0,0,0,412
3/18/16 22:44:13,101,9,0,0,0,0,0,0,0,0,418
3/18/16 22:50:14,101,9,0,0,0,0,0,0,0,0,424
3/18/16 22:56:15,101,8,0,0,0,0,0,0,0,0,430
3/18/16 23:2:16,101,8,0,0,0,0,0,0,0,0,436
3/18/16 23:8:17,101,8,0,0,0,0,0,0,0,0,442
3/18/16 23:14:18,101,8,0,0,0,0,0,0,0,0,448
3/18/16 23:20:19,101,8,0,0,0,0,0,0,0,0,454
3/18/16 23:26:20,101,8,0,0,0,0,0,0,0,0,460
3/18/16 23:32:21,102,8,0,0,0,0,0,0,0,0,466
3/18/16 23:38:22,103,8,0,0,0,0,0,0,0,0,473
3/18/16 23:44:23,104,8,0,0,0,0,0,0,0,0,479
3/18/16 23:50:24,104,8,0,0,0,0,0,0,0,0,485
3/18/16 23:56:25,105,8,0,0,0,0,0,0,0,0,491
3/19/16 0:2:26,105,8,0,0,0,0,0,0,0,0,497
3/19/16 0:8:27,97,8,0,0,0,1,0,0,0,0,0
3/19/16 0:14:28,88,8,0,0,0,0,0,0,0,0,4
3/19/16 0:20:29,88,8,0,0,0,0,0,0,0,0,10
3/19/16 0:26:30,88,8,0,0,0,0,0,0,0,0,16
3/19/16 0:32:31,89,8,0,0,0,0,0,0,0,0,22
3/19/16 0:38:32,89,8,0,0,0,0,0,0,0,0,28
3/19/16 0:44:33,89,8,0,0,0,0,0,0,0,0,34
3/19/16 0:50:34,90,8,0,0,0,0,0,0,0,0,40
3/19/16 0:56:36,90,8,0,0,0,0,0,0,0,0,46
3/19/16 1:2:36,90,8,0,0,0,0,0,0,0,0,52
3/19/16 1:8:37,90,8,0,0,0,0,0,0,0,0,58
3/19/16 1:14:38,90,8,0,0,0,0,0,0,0,0,64
3/19/16 1:20:39,90,8,0,0,0,0,0,0,0,0,70
3/19/16 1:26:41,90,8,0,0,0,0,0,0,0,0,76
3/19/16 1:32:41,90,8,0,0,0,0,0,0,0,0,82
3/19/16 1:38:42,90,8,0,0,0,0,0,0,0,0,88
3/19/16 1:44:43,90,8,0,0,0,0,0,0,0,0,94
3/19/16 1:50:44,90,8,0,0,0,0,0,0,0,0,100
3/19/16 1:56:46,90,8,0,0,0,0,0,0,0,0,106
3/19/16 2:2:46,90,8,0,0,0,0,0,0,0,0,112
